Date,Open,Close,High,Low
2000- 11- 24,"2,745.39","2,830.09","2,830.76","2,740.06"
2000- 11- 27,"2,910.57","2,769.32","2,913.76","2,759.98"
2000- 11- 28,"2,763.86","2,621.11","2,795.15","2,619.50"
2000- 11- 29,"2,635.05","2,602.85","2,670.53","2,520.14"
2000- 11- 30,"2,470.66","2,506.54","2,573.11","2,426.41"
2000- 12- 01,"2,566.68","2,549.74","2,674.42","2,499.39"
2000- 12- 04,"2,572.88","2,554.40","2,614.85","2,475.63"
2000- 12- 05,"2,648.54","2,852.87","2,852.91","2,633.57"
2000- 12- 06,"2,833.52","2,743.70","2,891.50","2,721.81"
2000- 12- 07,"2,688.61","2,719.91","2,761.78","2,648.94"
2000- 12- 08,"2,840.20","2,895.39","2,914.97","2,803.03"
2000- 12- 11,"2,900.28","2,972.91","2,990.83","2,848.86"
2000- 12- 12,"2,942.20","2,863.21","2,958.29","2,862.17"
2000- 12- 13,"2,940.18","2,748.88","2,941.34","2,741.40"
2000- 12- 14,"2,744.26","2,639.26","2,788.81","2,638.11"
2000- 12- 15,"2,590.84","2,549.48","2,624.56","2,511.35"
2000- 12- 18,"2,604.08","2,543.09","2,639.00","2,511.06"
2000- 12- 19,"2,538.86","2,399.63","2,635.22","2,397.87"
2000- 12- 20,"2,288.28","2,210.32","2,337.99","2,199.20"
2000- 12- 21,"2,191.82","2,224.84","2,347.28","2,174.76"
2000- 12- 22,"2,303.21","2,436.26","2,437.19","2,303.21"
2000- 12- 26,"2,435.51","2,404.60","2,477.10","2,332.35"
2000- 12- 27,"2,383.42","2,460.21","2,468.75","2,362.59"
2000- 12- 28,"2,435.84","2,464.62","2,505.65","2,420.34"
2000- 12- 29,"2,465.37","2,341.70","2,491.25","2,328.86"
2001- 01- 02,"2,341.28","2,128.78","2,347.70","2,105.49"
2001- 01- 03,"2,087.32","2,528.38","2,530.53","2,087.32"
2001- 01- 04,"2,485.52","2,460.04","2,547.04","2,432.04"
2001- 01- 05,"2,460.81","2,267.85","2,463.48","2,252.36"
2001- 01- 08,"2,245.44","2,281.54","2,282.95","2,151.16"
2001- 01- 09,"2,312.53","2,311.40","2,364.41","2,274.08"
2001- 01- 10,"2,253.85","2,413.71","2,417.43","2,237.45"
2001- 01- 11,"2,376.86","2,524.29","2,550.39","2,376.86"
2001- 01- 12,"2,522.45","2,506.05","2,591.55","2,471.06"
2001- 01- 16,"2,502.66","2,470.72","2,510.34","2,432.87"
2001- 01- 17,"2,586.80","2,558.67","2,629.17","2,539.09"
2001- 01- 18,"2,574.64","2,670.47","2,672.07","2,533.37"
2001- 01- 19,"2,740.11","2,655.68","2,740.76","2,633.67"
