Date,Open,High,Low,Close,Volume,Adjshareprice,Adjshareratio,Clsssmajind,Clsssminind,Stockinfo,Adjshareevnt,Prevdayclose
2020-07-30,12190,12310,12190,12260,43064,,,,,,,
2020-07-31,12360,12360,12210,12295,44957,,,,,,,
2020-08-03,12365,12775,12330,12760,261300,,,,,,,
2020-08-04,12790,12975,12730,12940,260579,,,,,,,
2020-08-05,12980,13190,12900,13190,210478,,,,,,,
2020-08-06,13150,13175,12970,13120,173986,,,,,,,
2020-08-07,13190,13360,13065,13165,143257,,,,,,,
2020-08-10,13165,13250,13030,13250,73501,,,,,,,
2020-08-11,13365,13365,12805,12820,195065,,,,,,,
2020-08-12,12790,12870,12540,12735,95040,,,,,,,
2020-08-13,13020,13105,12895,12990,60347,,,,,,,
2020-08-14,12990,13070,12790,12870,50716,,,,,,,
2020-08-18,12955,12955,12325,12460,46095,,,,,,,
2020-08-19,12500,12720,12455,12710,69169,,,,,,,
2020-08-20,12725,12725,11950,12015,58848,,,,,,,
2020-08-21,12090,12285,11920,12155,20940,,,,,,,
2020-08-24,12265,12410,12055,12380,47423,,,,,,,
2020-08-25,12350,12390,12140,12390,43762,,,,,,,
2020-08-26,12460,12460,12160,12290,39652,,,,,,,
2020-08-27,12255,12620,12255,12450,81219,,,,,,,
2020-08-28,12545,12545,12375,12440,67631,,,,,,,
2020-08-31,12475,12860,12475,12750,143906,,,,,,,
2020-09-01,12810,12970,12795,12830,135843,,,,,,,
2020-09-02,12985,13250,12970,13250,181887,,,,,,,
2020-09-03,13250,13430,13170,13405,367876,,,,,,,
2020-09-04,12875,13665,12875,13630,481630,,,,,,,
2020-09-07,13680,13820,13515,13575,253093,,,,,,,
2020-09-08,13495,13645,13410,13435,211201,,,,,,,
2020-09-09,13135,13350,13135,13200,186901,,,,,,,
2020-09-10,13395,13535,13185,13320,86920,,,,,,,
2020-09-11,13190,13335,13160,13320,88459,,,,,,,
2020-09-14,13265,13320,13100,13280,117691,,,,,,,
2020-09-15,13180,13325,13165,13290,56894,,,,,,,
2020-09-16,13210,13450,13210,13250,63647,,,,,,,
2020-09-17,13155,13265,13010,13010,74349,,,,,,,
2020-09-18,13080,13185,12930,13180,42050,,,,,,,
2020-09-21,13065,13195,12810,12905,39825,,,,,,,
2020-09-22,12795,12950,12475,12550,36450,,,,,,,
2020-09-23,12510,12710,12280,12605,12775,,,,,,,
2020-09-24,12235,12405,12050,12160,15595,,,,,,,
2020-09-25,12125,12270,11965,12155,9660,,,,,,,
2020-09-28,12120,12540,12120,12540,20234,,,,,,,
2020-09-29,12545,12675,12510,12655,9905,,,,,,,
2020-10-05,12565,12745,12525,12730,19605,,,,,,,
2020-10-06,12685,12875,12680,12855,16700,,,,,,,
2020-10-07,12635,12805,12635,12755,14406,,,,,,,
2020-10-08,12720,12805,12655,12725,16634,,,,,,,
2020-10-12,12660,12740,12575,12635,13830,,,,,,,
2020-10-13,12665,12745,12560,12595,2665,,,,,,,
2020-10-14,12730,12730,12440,12440,10417,,,,,,,
2020-10-15,12560,12560,12085,12135,4892,,,,,,,
2020-10-16,12250,12250,11880,12015,4458,,,,,,,
2020-10-19,12145,12145,11940,11970,11321,,,,,,,
2020-10-20,11970,12045,11780,12040,19048,,,,,,,
2020-10-21,12220,12220,12040,12180,6677,,,,,,,
2020-10-22,12210,12210,11930,11960,6181,,,,,,,
2020-10-23,11970,11970,11760,11845,5596,,,,,,,
2020-10-26,11850,11850,11555,11555,5601,,,,,,,
2020-10-27,11555,11790,11540,11630,3110,,,,,,,
2020-10-28,11640,11885,11625,11885,1781,,,,,,,
2020-10-29,11730,11875,11560,11875,2837,,,,,,,
2020-10-30,11740,11770,11440,11440,4560,,,,,,,
2020-11-02,11410,11740,11410,11730,5645,,,,,,,
2020-11-03,11775,11835,11710,11785,1748,,,,,,,
2020-11-04,11785,12030,11740,12005,1484,,,,,,,
2020-11-05,12125,12195,12035,12185,7864,,,,,,,
2020-11-06,12115,12230,12005,12045,3821,,,,,,,
2020-11-09,11955,12335,11955,12285,8313,,,,,,,
2020-11-10,11945,12045,11945,12040,5558,,,,,,,
2020-11-11,12015,12100,11870,12040,3714,,,,,,,
2020-11-12,12095,12145,12020,12055,2646,,,,,,,
2020-11-13,12090,12145,12000,12130,5550,,,,,,,
2020-11-16,12195,12250,12080,12110,6949,,,,,,,
2020-11-17,12045,12045,11880,11970,6130,,,,,,,
2020-11-18,11965,12190,11965,12140,17151,,,,,,,
2020-11-19,12065,12160,11985,12105,7599,,,,,,,
2020-11-20,12105,12305,12105,12285,4285,,,,,,,
2020-11-23,12375,12430,12290,12390,12910,,,,,,,
2020-11-24,12420,12420,12210,12285,8953,,,,,,,
2020-11-25,12280,12280,11940,12020,41499,,,,,,,
2020-11-26,12020,12135,12000,12135,6004,,,,,,,
2020-11-27,12165,12330,12165,12260,52491,,,,,,,
2020-11-30,12260,12340,12235,12235,11965,,,,,,,
2020-12-01,12185,12380,12185,12330,5808,,,,,,,
2020-12-02,12395,12445,12305,12445,11261,,,,,,,
2020-12-03,12780,13330,12780,13035,224469,,,,,,,
2020-12-04,13030,13265,12950,12970,98571,,,,,,,
2020-12-07,13190,13190,12705,12880,27353,,,,,,,
2020-12-08,12670,12950,12670,12900,9474,,,,,,,
2020-12-09,12905,12935,12760,12810,18846,,,,,,,
2020-12-10,12740,12910,12705,12870,35521,,,,,,,
2020-12-11,12925,12940,12850,12900,17971,,,,,,,
2020-12-14,13000,13040,12770,12990,18318,,,,,,,
2020-12-15,13055,13080,12875,12970,15039,,,,,,,
2020-12-16,12955,13175,12955,13170,16460,,,,,,,
2020-12-17,13155,13220,13085,13180,57233,,,,,,,
2020-12-18,13260,13270,13160,13165,28757,,,,,,,
2020-12-21,13165,13165,12935,12990,11732,,,,,,,
2020-12-22,12990,12990,12685,12685,23096,,,,,,,
2020-12-23,12725,12885,12690,12830,7780,,,,,,,
2020-12-24,12830,13000,12795,12900,7989,,,,,,,
2020-12-28,12980,12980,12780,12915,21615,,,,,,,
2020-12-29,13015,13210,13015,13205,26160,,,,,,,
2020-12-30,13250,13335,13160,13285,78511,,,,,,,
2021-01-04,13330,13405,13210,13405,62645,,,,,,,
2021-01-05,13385,13680,13265,13680,177474,,,,,,,
2021-01-06,13620,13660,13440,13480,100395,,,,,,,
2021-01-07,13590,13590,13415,13495,60226,,,,,,,
2021-01-08,13500,13695,13425,13600,129931,,,,,,,
2021-01-11,13610,13760,13295,13595,138956,,,,,,,
2021-01-12,13540,13635,13340,13540,23476,,,,,,,
2021-01-13,13600,13745,13595,13595,72385,,,,,,,
2021-01-14,13640,13825,13640,13810,121003,,,,,,,
2021-01-15,13830,13850,13530,13530,69342,,,,,,,
2021-01-18,13480,13530,13270,13315,25667,,,,,,,
2021-01-19,13355,13495,13330,13470,23108,,,,,,,
2021-01-20,13470,13570,13400,13570,20859,,,,,,,
2021-01-21,13570,13650,13540,13575,49056,,,,,,,
2021-01-22,13800,14200,13670,14065,400111,,,,,,,
2021-01-25,14055,14370,14045,14340,120651,,,,,,,
2021-01-26,14340,14390,14055,14200,50873,,,,,,,
2021-01-27,14200,14450,14200,14415,62589,,,,,,,
2021-01-28,14255,14420,14020,14125,26312,,,,,,,
2021-01-29,14130,14245,13645,13795,23179,,,,,,,
2021-02-01,13930,14325,13705,14325,24246,,,,,,,
2021-02-02,14330,14590,14300,14475,29393,,,,,,,
2021-02-03,14625,14770,14485,14770,50124,,,,,,,
2021-02-04,14745,14745,14375,14535,36332,,,,,,,
2021-02-05,14680,14760,14405,14740,44018,,,,,,,
2021-02-08,14765,15130,14740,15020,122640,,,,,,,
2021-02-09,15075,15075,14740,14765,24074,,,,,,,
2021-02-10,14800,14965,14710,14910,27393,,,,,,,
2021-02-15,15005,15060,14900,14955,23597,,,,,,,
2021-02-16,14955,15090,14855,15010,23904,,,,,,,
2021-02-17,15010,15025,14790,14930,20287,,,,,,,
2021-02-18,14945,14955,14745,14835,8584,,,,,,,
2021-02-19,14880,14915,14590,14800,21903,,,,,,,
2021-02-22,14960,14960,14510,14565,21518,,,,,,,
2021-02-23,14320,14510,14310,14325,12483,,,,,,,
2021-02-24,14260,14585,13960,14000,18324,,,,,,,
2021-02-25,14335,14360,14120,14360,35669,,,,,,,
2021-02-26,14085,14085,13755,14025,5451,,,,,,,
2021-03-02,14410,14410,13915,14060,4318,,,,,,,
2021-03-03,14055,14230,13995,14180,3398,,,,,,,
2021-03-04,14145,14145,13915,14100,1100,,,,,,,
2021-03-05,14060,14110,13775,14095,5276,,,,,,,
2021-03-08,14075,14220,13810,13860,5409,,,,,,,
2021-03-09,13850,13865,13475,13825,17256,,,,,,,
2021-03-10,13920,13920,13515,13515,6599,,,,,,,
2021-03-11,13655,13805,13515,13735,5357,,,,,,,
2021-03-12,13940,14050,13845,14005,9200,,,,,,,
2021-03-15,14005,14285,14005,14255,20190,,,,,,,
2021-03-16,14320,14470,14195,14335,12199,,,,,,,
2021-03-17,14540,14540,14380,14505,9426,,,,,,,
2021-03-18,14520,14605,14510,14600,12179,,,,,,,
2021-03-19,14345,14780,14345,14755,15324,,,,,,,
2021-03-22,14800,15190,14800,15190,45410,,,,,,,
2021-03-23,15190,15470,15170,15285,89897,,,,,,,
2021-03-24,15360,15500,15155,15475,27453,,,,,,,
2021-03-25,15330,15770,15330,15765,56076,,,,,,,
2021-03-26,15785,16130,15725,15845,72561,,,,,,,
2021-03-29,15845,15850,15615,15775,25633,,,,,,,
2021-03-30,15795,15930,15755,15815,23720,,,,,,,
2021-03-31,15645,16050,15645,15960,34133,,,,,,,
2021-04-01,15960,15975,15730,15860,25500,,,,,,,
2021-04-02,15860,16050,15790,15810,21407,,,,,,,
2021-04-05,15950,15950,15655,15775,11622,,,,,,,
2021-04-06,15770,15925,15720,15875,32297,,,,,,,
2021-04-07,16015,16015,15770,15960,23045,,,,,,,
2021-04-08,15985,16225,15885,16170,34683,,,,,,,
2021-04-09,16170,16830,16170,16770,93163,,,,,,,
2021-04-12,16810,16975,16720,16960,62779,,,,,,,
2021-04-13,17025,17100,16880,17045,38420,,,,,,,
2021-04-14,17085,17225,16930,16955,57541,,,,,,,
2021-04-15,16965,16965,16755,16860,56062,,,,,,,
2021-04-16,16965,16965,16820,16820,26320,,,,,,,
2021-04-19,17000,17000,16705,16800,43887,,,,,,,
2021-04-20,16800,16800,16680,16725,34050,,,,,,,
2021-04-21,16650,16760,16605,16605,35642,,,,,,,
2021-04-22,16545,16700,16440,16515,36061,,,,,,,
2021-04-23,16555,16555,16275,16390,22056,,,,,,,
2021-04-26,16640,16640,16295,16330,20863,,,,,,,
2021-04-27,16205,16330,16030,16080,31529,,,,,,,
2021-04-28,15945,16010,15700,15740,17235,,,,,,,
2021-04-29,15960,15960,15555,15595,17078,4,-0.19,,,,,
2021-04-30,15710,15710,15145,15270,12075,,,,,,,
2021-05-03,15380,15380,14880,14880,6966,,,,,,,
2021-05-04,14880,15005,14525,14960,13279,,,,,,,
2021-05-06,15045,15045,14790,14920,7913,,,,,,,
2021-05-07,14990,15250,14960,15170,19734,,,,,,,
2021-05-10,15300,15410,15140,15370,7392,,,,,,,
2021-05-11,15370,15370,15020,15145,5812,,,,,,,
2021-05-12,15145,15145,14870,14990,3768,,,,,,,
2021-05-13,14865,15085,14765,14890,3085,,,,,,,
2021-05-14,14920,15035,14890,14900,6254,,,,,,,
2021-05-17,14900,14900,14735,14735,9294,,,,,,,
2021-05-18,14735,15030,14690,14975,2013,,,,,,,
2021-05-20,14900,14995,14840,14995,3374,,,,,,,
2021-05-21,14995,15145,14995,15050,2372,,,,,,,
2021-05-24,15050,15050,14825,14995,1693,,,,,,,
2021-05-25,15130,15150,15060,15090,5841,,,,,,,
2021-05-26,15090,15295,15090,15250,6498,,,,,,,
