Date,Open,High,Low,Close,Volume,Adjshareprice,Adjshareratio,Clsssmajind,Clsssminind,Stockinfo,Adjshareevnt,Prevdayclose
2021-08-23,12275,12275,12100,12215,757,,,,,,,
2021-08-24,12055,12160,11985,12000,4235,,,,,,,
2021-08-25,12065,12065,11885,11955,555,,,,,,,
2021-08-26,11955,12065,11950,11975,982,,,,,,,
2021-08-27,11975,11975,11860,11915,3651,,,,,,,
2021-08-30,12000,12020,11850,11915,3262,,,,,,,
2021-08-31,12075,12075,11915,11935,6206,,,,,,,
2021-09-01,12025,12025,11845,11890,1472,,,,,,,
2021-09-02,12055,12060,11755,11980,371,,,,,,,
2021-09-03,12135,12135,11985,12025,2818,,,,,,,
2021-09-06,12140,12155,12020,12035,2207,,,,,,,
2021-09-07,12110,12130,11810,12095,2598,,,,,,,
2021-09-08,12045,12045,11895,11965,1180,,,,,,,
2021-09-09,12225,12225,11920,12100,1093,,,,,,,
2021-09-10,12145,12145,11980,12020,711,,,,,,,
2021-09-13,11760,12000,11760,11995,335,,,,,,,
2021-09-14,11800,12100,11800,11970,671,,,,,,,
2021-09-15,12020,12040,11880,11915,1169,,,,,,,
2021-09-16,11920,11950,11825,11950,780,,,,,,,
2021-09-17,11725,11985,11725,11960,589,,,,,,,
2021-09-23,11900,11900,11810,11810,2174,,,,,,,
2021-09-24,11810,11895,11740,11810,1272,,,,,,,
2021-09-27,11920,11920,11720,11820,1071,,,,,,,
2021-09-28,11960,11960,11720,11785,905,,,,,,,
2021-09-29,11555,11720,11540,11665,8112,,,,,,,
2021-09-30,11775,11790,11745,11780,229,,,,,,,
2021-10-01,11665,11665,11570,11605,758,,,,,,,
2021-10-05,11650,11725,11650,11710,1152,,,,,,,
2021-10-06,11720,11775,11710,11775,1445,,,,,,,
2021-10-07,11870,11875,11825,11875,543,,,,,,,
2021-10-08,11875,11935,11875,11935,909,,,,,,,
2021-10-12,11870,11890,11850,11855,197,,,,,,,
2021-10-13,11855,11855,11835,11850,426,,,,,,,
2021-10-14,11850,11850,11780,11815,679,,,,,,,
2021-10-15,12335,12335,11870,11910,335,,,,,,,
2021-10-18,12020,12020,11855,11930,1233,,,,,,,
2021-10-19,11815,11815,11755,11760,3039,,,,,,,
2021-10-20,11845,11855,11790,11810,1277,,,,,,,
2021-10-21,11890,11940,11890,11920,536,,,,,,,
