Date,Open,High,Low,Close,Volume,Adjshareprice,Adjshareratio,Clsssmajind,Clsssminind,Stockinfo,Adjshareevnt,Prevdayclose
2020-07-14,13435,13435,13205,13340,495,,,,,,,
2020-07-15,13470,13470,13320,13335,2575,,,,,,,
2020-07-16,13465,13465,13335,13440,2466,,,,,,,
2020-07-17,13465,13465,13355,13365,243,,,,,,,
2020-07-20,13465,13650,13390,13650,2459,,,,,,,
2020-07-21,13760,13760,13600,13650,753,,,,,,,
2020-07-22,13755,13755,13645,13655,247,,,,,,,
2020-07-23,13760,13760,13615,13695,850,,,,,,,
2020-07-24,13750,13750,13530,13595,392,,,,,,,
2020-07-27,13545,13560,13410,13560,1298,,,,,,,
2020-07-28,13700,13700,13405,13560,833,,,,,,,
2020-07-29,13560,13560,13500,13545,648,,,,,,,
2020-07-30,13635,13725,13635,13675,526,,,,,,,
2020-07-31,13675,13675,13510,13585,364,,,,,,,
2020-08-03,13745,13745,13510,13705,1917,,,,,,,
2020-08-04,13760,13770,13675,13755,714,,,,,,,
2020-08-05,13700,13980,13660,13920,3008,,,,,,,
2020-08-06,13920,13975,13765,13920,751,,,,,,,
2020-08-07,13805,13970,13805,13840,1078,,,,,,,
2020-08-10,13840,13975,13745,13970,1201,,,,,,,
2020-08-11,13835,13935,13835,13895,1727,,,,,,,
2020-08-12,13895,13905,13790,13850,582,,,,,,,
2020-08-13,13900,14095,13865,14080,2468,,,,,,,
2020-08-14,13920,14130,13920,14100,618,,,,,,,
2020-08-18,14195,14195,13995,14125,2642,,,,,,,
2020-08-19,14075,14175,14015,14115,565,,,,,,,
2020-08-20,14005,14090,13960,13990,708,,,,,,,
2020-08-21,14000,14110,14000,14100,255,,,,,,,
2020-08-24,14005,14145,13955,14090,2482,,,,,,,
2020-08-25,14140,14185,14130,14155,407,,,,,,,
2020-08-26,14105,14230,14105,14210,1639,,,,,,,
2020-08-27,14215,14410,14215,14395,8354,,,,,,,
2020-08-28,14255,14395,14255,14385,3740,,,,,,,
2020-08-31,14565,14565,14400,14435,836,,,,,,,
2020-09-01,14475,14475,14350,14445,5843,,,,,,,
2020-09-02,14445,14525,14415,14520,2607,,,,,,,
2020-09-03,14540,14685,14540,14665,4536,,,,,,,
2020-09-04,14130,14280,14130,14265,2790,,,,,,,
2020-09-07,14220,14220,14050,14165,1839,,,,,,,
2020-09-08,14130,14200,14090,14170,2573,,,,,,,
2020-09-09,13970,13990,13930,13985,363,,,,,,,
2020-09-10,14170,14175,14085,14130,290,,,,,,,
