,Cash,Stock,Asset,Signal,CAGR,MDD,Accuracy,Precision
2017-09-28,3524,[100],1046024,Hold,12.835650686515443,2.2726745220613838,,
2017-09-29,3524,[100],1047024,Hold,13.023601419291575,2.2726745220613838,,
2017-10-10,3524,[100],1062024,Hold,15.998643721876382,2.2726745220613838,,
2017-10-11,3524,[100],1063524,Hold,16.28451792479668,2.2726745220613838,,
2017-10-12,3524,[100],1065524,Hold,16.699915499223806,2.2726745220613838,,
2017-10-13,3524,[100],1063524,Hold,16.052381523496063,2.2726745220613838,,
2017-10-16,3524,[100],1065524,Hold,16.23273300699224,2.2726745220613838,,
2017-10-17,3524,[100],1066024,Hold,16.248341293569666,2.2726745220613838,,
2017-10-18,3524,[100],1067524,Hold,16.51891154298397,2.2726745220613838,,
2017-10-19,3524,[100],1068024,Hold,16.532295596559244,2.2726745220613838,,
2017-10-20,3524,[100],1071024,Hold,17.17634049659924,2.2726745220613838,,
2017-10-23,3524,[100],1074524,Hold,17.698103456665226,2.2726745220613838,,
2017-10-24,3524,[100],1070524,Hold,16.59589629798588,2.2726745220613838,,
2017-10-25,3524,[100],1065524,Hold,15.271344121771179,2.2726745220613838,,
2017-10-26,3524,[100],1067024,Hold,15.53265331471081,2.2726745220613838,,
2017-10-27,3524,[100],1068024,Hold,15.671046014661227,2.2726745220613838,,
2017-10-30,3524,[100],1073024,Hold,16.547414430464013,2.2726745220613838,,
2017-10-31,3524,[100],1071524,Hold,16.09058750155288,2.2726745220613838,,
2017-11-01,3524,[100],1071024,Hold,15.872570482773796,2.2726745220613838,,
2017-11-02,3524,[100],1074524,Hold,16.581838437549724,2.2726745220613838,,
2017-11-03,3524,[100],1075524,Hold,16.708048261945653,2.2726745220613838,,
2017-11-06,3524,[100],1070524,Hold,15.273545557717117,2.2726745220613838,,
2017-11-07,3524,[100],1082024,Hold,17.761315668036403,2.2726745220613838,,
2017-11-08,3524,[100],1077024,Hold,16.53421886662145,2.2726745220613838,,
2017-11-09,3524,[100],1075024,Hold,15.99115651781311,2.2726745220613838,,
2017-11-10,3524,[100],1076524,Hold,16.22505408207249,2.2726745220613838,,
2017-11-13,3524,[100],1075524,Hold,15.721471864748349,2.2726745220613838,,
2017-11-14,3524,[100],1076524,Hold,15.843705225191762,2.2726745220613838,,
2017-11-15,3524,[100],1072524,Hold,14.899535195243164,2.2726745220613838,,
2017-11-16,3524,[100],1073024,Hold,14.918934208140676,2.2726745220613838,,
2017-11-17,3524,[100],1074024,Hold,15.043153883350113,2.2726745220613838,,
2017-11-20,3524,[100],1070524,Hold,14.066229108436978,2.2726745220613838,,
2017-11-21,3524,[100],1076024,Hold,15.114930684755002,2.2726745220613838,,
2017-11-22,3524,[100],1081524,Hold,16.156341795788244,2.2726745220613838,,
2017-11-23,3524,[100],1081024,Hold,15.96378534593228,2.2726745220613838,,
2017-11-24,3524,[100],1082024,Hold,16.07762930006851,2.2726745220613838,,
2017-11-27,3524,[100],1083024,Hold,16.0124475132146,2.2726745220613838,,
2017-11-28,3524,[100],1083524,Hold,16.024192726756013,2.2726745220613838,,
2017-11-29,3524,[100],1093524,Hold,17.91728113829447,2.2726745220613838,,
2017-11-30,3524,[100],1093024,Hold,17.72087087597347,2.2726745220613838,,
2017-12-01,3524,[100],1098524,Hold,18.707300265934634,2.2726745220613838,,
2017-12-04,3524,[100],1108024,Hold,20.25432909075917,2.2726745220613838,,
2017-12-05,3524,[100],1102024,Hold,18.98408998215484,2.2726745220613838,,
2017-12-06,3524,[100],1094024,Hold,17.351009352512815,2.2726745220613838,,
2017-12-07,3524,[100],1099024,Hold,18.211123954599493,2.2726745220613838,,
2017-12-08,3524,[100],1102524,Hold,18.779698184026252,2.2726745220613838,,
2017-12-11,3524,[100],1106024,Hold,19.142568274764415,2.2726745220613838,,
2017-12-12,3524,[100],1111024,Hold,19.976185838043282,2.2726745220613838,,
2017-12-13,3524,[100],1109024,Hold,19.50188054782702,2.2726745220613838,,
2017-12-14,3524,[100],1112524,Hold,20.048424287004394,2.2726745220613838,,
2017-12-15,3524,[100],1107524,Hold,19.027978447178917,2.2726745220613838,,
2017-12-18,3524,[100],1119524,Hold,20.913710458135615,2.2726745220613838,,
2017-12-19,3524,[100],1122024,Hold,21.260454113941375,2.2726745220613838,,
2017-12-20,3524,[100],1120524,Hold,20.883939513777182,2.2726745220613838,,
2017-12-21,3524,[100],1118024,Hold,20.33302194658717,2.2726745220613838,,
2017-12-22,3524,[100],1121524,Hold,20.854555569934142,2.2726745220613838,,
2017-12-26,3524,[100],1119024,Hold,20.013019245409414,2.2726745220613838,,
2017-12-27,3524,[100],1120024,Hold,20.089300279656275,2.2726745220613838,,
2017-12-28,3524,[100],1118524,Hold,19.734202285356297,2.2726745220613838,,
2018-01-02,3524,[100],1116024,Hold,18.851213561640723,2.2726745220613838,,
2018-01-03,3524,[100],1122524,Hold,19.848512278307197,2.2726745220613838,,
2018-01-04,3524,[100],1131524,Hold,21.256857202995572,2.2726745220613838,,
2018-01-05,3524,[100],1137024,Hold,22.073365330139904,2.2726745220613838,,
2018-01-08,3524,[100],1143024,Hold,22.753664098224323,2.2726745220613838,,
2018-01-09,3524,[100],1143024,Hold,22.648413602270303,2.2726745220613838,,
2018-01-10,3524,[100],1145524,Hold,22.95198450911322,2.2726745220613838,,
2018-01-11,3524,[100],1146524,Hold,23.009070310588008,2.2726745220613838,,
2018-01-12,3524,[100],1154024,Hold,24.11847573934085,2.2726745220613838,,
2018-01-15,3524,[100],1164024,Hold,25.3919976121751,2.2726745220613838,,
2018-01-16,3524,[100],1165024,Hold,25.436432061009274,2.2726745220613838,,
2018-01-17,3524,[100],1159024,Hold,24.368811519805234,2.2726745220613838,,
2018-01-18,3524,[100],1166524,Hold,25.444720886498075,2.2726745220613838,,
2018-01-19,3524,[100],1164524,Hold,25.015708297176744,2.2726745220613838,,
2018-01-22,3524,[100],1170524,Hold,25.615412194220944,2.2726745220613838,,
2018-01-23,3524,[100],1183524,Hold,27.518049457142336,2.2726745220613838,,
2018-01-24,3524,[100],1183024,Hold,27.318734615493014,2.2726745220613838,,
2018-01-25,3524,[100],1183524,Hold,27.27515892914778,2.2726745220613838,,
2018-01-26,3524,[100],1183524,Hold,27.15530769637633,2.2726745220613838,,
