Date,Open,Close,High,Low,Volume,Signal
2019-03-14,36695,36800,36850,36655,14702,
2019-03-15,36810,37105,37175,36800,32057,
2019-03-18,37105,37200,37240,37025,29250,Sell
2019-03-19,37245,37105,37275,37095,12133,
2019-03-20,37080,37230,37280,37080,4071,
2019-03-21,37230,37385,37385,37210,4489,
2019-03-22,37585,37905,38005,37585,116246,
2019-03-25,37090,37020,37145,36930,8489,
2019-03-26,37315,37185,37315,37085,4379,
2019-03-27,37195,37520,37520,37195,5050,
2019-03-28,37240,37195,37245,37105,8041,
2019-03-29,37215,37605,37885,37195,52727,
2019-04-01,37795,37920,37970,37795,79735,
2019-04-02,38000,37885,38095,37875,16273,
2019-04-03,38020,38295,38340,38020,16475,
2019-04-04,38380,38315,38445,38305,20443,
2019-04-05,38315,38355,38475,38290,23160,
2019-04-08,38490,38625,38685,38480,52194,
2019-04-09,38685,38739,38854,38685,69600,
2019-04-10,38735,38530,38735,38510,22031,
2019-04-11,38575,38695,38879,38575,24772,
2019-04-12,38695,38655,38834,38635,13083,
2019-04-15,38730,38769,38804,38720,40174,Sell
2019-04-16,38859,38774,38859,38650,15160,
2019-04-17,38879,38979,39009,38839,13913,
2019-04-18,39004,38894,39004,38839,16618,
2019-04-19,38984,39159,39159,38949,25847,
2019-04-22,39164,39314,39314,39049,30622,
2019-04-23,39329,39409,39424,39264,20770,
2019-04-24,39529,39969,40064,39529,89555,
2019-04-25,40119,40479,40479,40119,41743,
2019-04-26,40439,40564,40564,40344,64079,
2019-04-29,40589,40494,40589,40394,40850,
2019-04-30,40474,40764,40764,40439,45383,
2019-05-02,40574,40514,40584,40304,19467,
2019-05-03,40509,40569,40659,40399,17998,
2019-05-07,40534,40489,40584,40384,18227,
2019-05-08,39969,39899,39969,39789,44646,
2019-05-09,39899,39914,39914,39719,70187,
2019-05-10,40719,39874,40719,39644,25215,
2019-05-13,39874,39784,39874,39449,15878,
2019-05-14,38375,39084,39134,38375,59387,
2019-05-15,40484,39654,40484,39409,14205,
2019-05-16,39739,39879,39934,39739,18082,Sell
2019-05-17,40634,40409,40634,40134,13011,
2019-05-20,40004,40354,40399,40004,11215,
2019-05-21,40184,39754,40184,39534,19520,
2019-05-22,39969,39779,39979,39754,6609,
2019-05-23,40134,39299,40134,39284,6284,
2019-05-24,39179,39114,39179,38874,9498,
2019-05-27,39109,38804,39109,38640,9540,
2019-05-28,38804,38974,39094,38804,6931,
2019-05-29,38824,38625,38824,38485,4019,
2019-05-30,38500,38460,38655,38435,11449,
2019-05-31,38405,38335,38430,38305,4625,
2019-06-03,37590,37565,37840,37455,15217,
2019-06-04,37085,37015,37355,36915,26114,
2019-06-05,37835,38010,38135,37695,17114,
2019-06-07,38285,38390,38615,38245,27677,
2019-06-10,39044,39644,39644,39044,36385,
2019-06-11,39689,39654,39899,39614,27596,
2019-06-12,39649,39499,39874,39484,47379,
2019-06-13,39499,39434,39734,39434,34844,
2019-06-14,39784,39714,39784,39534,7819,
2019-06-17,39719,39919,39934,39714,57656,Sell
2019-06-18,39919,39949,40084,39919,14900,
2019-06-19,40369,40254,40659,40224,29119,
2019-06-20,40094,40359,40584,40094,26060,
2019-06-21,40614,40074,40634,40039,28621,
2019-06-24,40034,40329,40384,40034,19891,
2019-06-25,40039,39984,40179,39849,27364,
2019-06-26,39559,39479,39634,39469,17213,
2019-06-27,39489,39904,39904,39489,10565,
2019-06-28,39904,39684,39904,39664,10059,
2019-07-01,40384,40534,40534,39984,18756,
2019-07-02,40584,40789,40789,40384,11765,
2019-07-03,40784,40884,40954,40729,25798,
2019-07-04,40974,41219,41318,40974,45035,
2019-07-05,41224,41463,41553,41159,17564,
2019-07-08,41503,41234,41503,41094,17689,
2019-07-09,41104,40984,41139,40934,12353,
2019-07-10,41533,41433,41558,41298,14417,
2019-07-11,41613,41583,41833,41583,75487,
2019-07-12,41723,41868,41868,41608,18980,
2019-07-15,41958,42073,42073,41868,24573,
2019-07-16,42088,42128,42303,42073,18327,Sell
2019-07-17,42093,41968,42093,41823,9980,
2019-07-18,41878,41473,41878,41383,15916,
2019-07-19,41683,41708,41833,41633,14963,
2019-07-22,41154,41283,41438,41119,70490,
2019-07-23,41773,41688,41773,41648,18392,
2019-07-24,42168,41883,42173,41758,11988,
2019-07-25,42308,42228,42308,42173,15230,
2019-07-26,42013,42313,42313,42013,17898,
2019-07-29,42348,42348,42423,42283,25606,
2019-07-30,42483,42373,42483,42288,20141,
2019-07-31,42418,42223,42418,42113,9879,
2019-08-01,42083,41778,42083,41563,16662,
2019-08-02,41488,41543,41763,41328,22239,
2019-08-05,41328,41343,41528,41024,37089,
2019-08-06,39984,40454,40474,39134,59890,
2019-08-07,40614,40724,40874,40614,16431,
2019-08-08,40754,41219,41273,40754,15956,
2019-08-09,41413,41643,41753,41413,12391,
2019-08-12,41633,41878,41883,41463,17603,
2019-08-13,41149,41383,41458,41084,9223,
2019-08-14,41958,41943,42038,41848,91176,
2019-08-16,40984,41049,41049,40639,20405,Sell
2019-08-19,41278,41648,41648,41278,7496,
2019-08-20,41843,41818,41948,41683,12575,
2019-08-21,41483,41488,41663,41358,9395,
2019-08-22,41848,41668,41848,41633,8485,
2019-08-23,42008,42043,42108,41693,15202,
2019-08-26,40634,40524,40634,40289,40652,
2019-08-27,41184,41129,41184,41029,16694,
2019-08-28,41243,41278,41278,41124,7524,
2019-08-29,41268,41293,41343,40969,13394,
2019-08-30,41948,41663,41948,41628,13883,
2019-09-02,41643,41418,41643,41328,7706,
2019-09-03,41563,41518,41603,41418,8098,
2019-09-04,41004,41643,41643,41004,7166,
2019-09-05,41653,41998,42078,41653,151424,
2019-09-06,42103,42088,42263,42013,55955,
2019-09-09,42173,42058,42173,41983,6978,
2019-09-10,41968,41853,41988,41798,11363,
2019-09-11,41743,41798,41893,41568,5712,
2019-09-16,41828,41633,41983,41383,11104,Sell
2019-09-17,41633,41633,41838,41583,5366,
2019-09-18,41798,42023,42028,41798,12740,
2019-09-19,42023,42098,42163,42023,12125,
2019-09-20,42388,42133,42388,42103,10824,
2019-09-23,42033,42133,42143,41933,8561,
2019-09-24,42133,42048,42133,41943,10976,
2019-09-25,41533,41468,41618,41418,13036,
2019-09-26,42018,41833,42018,41763,7353,
2019-09-27,41833,41708,41833,41593,14985,
2019-09-30,41418,41338,41578,41333,13543,
2019-10-01,41353,41778,41838,41353,30864,
2019-10-02,41568,41573,41668,41468,5198,
2019-10-04,41283,40979,41288,40884,18948,
2019-10-07,41318,41383,41483,41238,8086,
2019-10-08,41583,41513,41583,41353,3953,
2019-10-10,41229,41234,41234,40954,7186,
2019-10-11,41428,41423,41543,41248,5655,
2019-10-14,41693,41568,41813,41568,10257,
2019-10-15,41633,41873,41873,41618,7806,
2019-10-16,42043,42173,42228,42043,8274,Sell
2019-10-17,42183,42023,42183,41963,3939,
2019-10-18,42278,41988,42278,41913,7426,
2019-10-21,41633,41563,41768,41483,11087,
2019-10-22,41603,41808,41933,41603,7815,
2019-10-23,41533,41348,41533,41194,8742,
2019-10-24,41608,41608,41608,41383,5012,
2019-10-25,41688,42043,42058,41688,13423,
2019-10-28,42333,42193,42333,42073,6618,
2019-10-29,42253,42428,42508,42253,11123,
2019-10-30,42408,42178,42408,42153,10854,
2019-10-31,42328,42258,42328,42093,15051,
2019-11-01,42253,42503,42513,42253,8838,
2019-11-04,42558,42643,42703,42518,14059,
2019-11-05,42738,42768,42768,42688,12264,
2019-11-06,42768,42663,42768,42543,5468,
2019-11-07,42663,42643,42768,42483,6510,
2019-11-08,42658,42528,42718,42328,7364,
2019-11-11,42683,42873,42873,42683,14931,
2019-11-12,42853,43123,43123,42853,4917,
2019-11-13,43123,43083,43133,42993,11447,
2019-11-14,43143,43328,43443,43143,15895,
2019-11-15,43478,43358,43478,43143,38899,Buy
2019-11-18,43373,43368,43513,43368,14229,
2019-11-19,43368,43678,43688,43338,12254,
2019-11-20,43767,43693,43767,43533,7112,
2019-11-21,43673,43767,43767,43343,12338,
2019-11-22,43782,43832,43852,43498,7557,
2019-11-25,43927,43852,43937,43802,9263,
2019-11-26,43957,44197,44202,43952,12173,
2019-11-27,44197,44352,44382,44197,13301,
2019-11-28,44417,44592,44632,44417,19685,
2019-11-29,44612,44622,44722,44522,16190,
2019-12-02,44622,44812,44817,44562,11675,
2019-12-03,44352,44262,44362,44082,17370,
2019-12-04,43867,44342,44347,43867,14673,
2019-12-05,44592,44312,44592,44127,12196,
2019-12-06,44452,44572,44582,44312,5379,
2019-12-09,44937,44762,44977,44572,11383,
2019-12-10,44822,44822,44822,44587,7387,
2019-12-11,44792,44802,44827,44492,8067,
2019-12-12,44802,44772,44982,44657,11384,
2019-12-13,44827,44792,44987,44592,22589,
2019-12-16,44792,44852,44937,44737,10459,Buy
2019-12-17,45022,44942,45022,44832,11921,
2019-12-18,44957,44952,44962,44842,8139,
2019-12-19,45037,44902,45037,44757,13189,
2019-12-20,44902,45022,45172,44902,13945,
2019-12-23,45047,45372,45387,45047,31100,
2019-12-24,45372,45442,45442,45322,30387,
2019-12-26,45537,45437,45537,45367,13759,
2019-12-27,45625,45900,45910,45625,20839,
2019-12-30,45885,45630,45885,45605,22335,
