종목,현재가,고가,저가,변동,변동 %,거래량,시간
로버트 하프,93.49,95.80,93.25,+0.56,+0.60%,720.20K,14/05
로스 스토어스,92.06,92.20,89.71,+2.94,+3.30%,2.69M,14/05
로얄 캐리비안,61.63,62.57,58.68,+3.85,+6.66%,4.63M,14/05
로우스,194.00,197.41,190.35,+2.30,+1.20%,2.90M,14/05
로우스,63.15,63.41,62.39,+1.21,+1.95%,669.95K,14/05
로크웰 오토메이션,203.82,209.39,202.29,+1.11,+0.55%,1.39M,14/05
로퍼 테크놀로지,430.33,435.36,424.37,+1.49,+0.35%,655.12K,14/05
록히드 마틴,435.17,437.70,429.00,+0.58,+0.13%,1.11M,14/05
롤린스,34.05,34.30,33.53,+0.82,+2.47%,1.10M,14/05
루멘 테크놀로지스,11.59,11.75,11.38,+0.12,+1.05%,11.51M,14/05
리얼티인컴,67.41,67.47,65.40,+2.02,+3.09%,5.23M,14/05
리온델바셀 인더스트리즈,106.72,107.78,105.90,+0.96,+0.91%,2.48M,14/05
리전스 파이낸셜,19.88,20.17,19.67,+0.06,+0.30%,6.21M,14/05
리제네론 파마슈티컬스,645.52,648.48,629.08,+11.56,+1.82%,600.93K,14/05
리젠시 센터,67.89,67.93,65.60,+2.34,+3.57%,1.36M,14/05
리퍼블릭 서비스,130.89,131.29,128.65,+3.17,+2.48%,1.70M,14/05
린드,308.77,311.18,302.59,+7.43,+2.47%,1.85M,14/05
링컨 내셔널,54.09,54.62,52.87,+2.21,+4.26%,1.88M,14/05
마라톤 오일,27.00,27.14,25.80,+1.87,+7.44%,23.20M,14/05
마라톤 페트롤륨,95.88,96.72,94.27,+3.14,+3.39%,5.80M,14/05
마쉬 앤 맥레넌,159.95,159.99,156.82,+3.98,+2.55%,1.44M,14/05
마스코,55.37,55.93,54.81,+0.81,+1.48%,2.10M,14/05
마스터카드,332.80,335.23,326.09,+11.56,+3.60%,3.54M,14/05
마이크로소프트,261.12,263.04,255.35,+5.77,+2.26%,34.67M,14/05
마이크로칩 테크,67.03,67.73,65.91,+1.60,+2.45%,5.66M,14/05
마이크론 테크놀로지,71.92,72.63,68.02,+4.21,+6.22%,21.85M,14/05
마켓액세스홀딩스,263.38,265.75,259.13,+6.12,+2.38%,290.04K,14/05
